timestamp_utc,btc_binance,btc_okx,btc_bybit,eth_binance,eth_okx,eth_bybit
2026-08-29 18:22 UTC,0.0098,0.0027,0.0044,0.0044,0.0037,0.0021
2026-08-29 18:40 UTC,0.01,0.0025,0.0045,0.004,0.0035,0.0023,,
2026-08-29 19:01 UTC,0.01,0.0023,0.005,0.0029,0.003,0.0023,,
2026-08-29 19:37 UTC,0.01,0.0019,0.006,0.0017,0.0019,0.0035,,
2026-08-29 20:01 UTC,0.0099,0.0018,0.0065,0.0009,0.0017,0.0022,,
2026-08-29 21:01 UTC,0.0092,0.0014,0.0047,0.0007,0.0012,0.0023,,
2026-08-29 21:37 UTC,0.0082,0.0016,0.0043,0.0006,0.001,0.0015,,
2026-08-29 22:01 UTC,0.0081,0.0018,0.0046,0.0012,0.0011,0.0017,,
2026-08-29 22:37 UTC,0.0084,0.0024,0.0047,0.0012,0.0013,0.0016,,
2026-08-29 23:01 UTC,0.0084,0.0026,0.0048,0.0015,0.0016,0.0014,,
2026-08-29 23:37 UTC,0.0083,0.0032,0.0046,0.002,0.0018,0.0012,,
2026-08-30 00:01 UTC,0.0083,0.003,0.01,0.0032,0.0016,0.01,,
2026-08-30 01:37 UTC,0.0083,0.0027,0.004,0.0043,0.002,0.0002,,
2026-08-30 03:01 UTC,0.0098,0.0031,0.0063,0.0053,0.0032,0.0016,,
2026-08-30 03:37 UTC,0.01,0.0034,0.0073,0.005,0.0035,0.0013,,
2026-08-30 04:01 UTC,0.01,0.0035,0.0061,0.004,0.0034,0.0008,,
2026-08-30 04:37 UTC,0.0098,0.0037,0.0065,0.0027,0.0031,0.0011,,
2026-08-30 05:01 UTC,0.01,0.0041,0.0072,0.0022,0.0033,0.0013,,
2026-08-30 05:37 UTC,0.01,0.0047,0.0072,0.0026,0.0045,0.0023,,
2026-08-30 06:01 UTC,0.01,0.0051,0.0072,0.0029,0.0051,0.0024,,
2026-08-30 06:37 UTC,0.01,0.006,0.0074,0.003,0.0064,0.0031,,
2026-08-30 07:02 UTC,0.01,0.0064,0.0073,0.0034,0.0067,0.0038,,
2026-08-30 07:37 UTC,0.01,0.0061,0.0068,0.003,0.007,0.004,,
2026-08-30 08:01 UTC,0.01,0.0065,0.01,0.0028,0.007,0.01,,
2026-08-30 08:37 UTC,0.01,0.0076,0.01,0.0029,0.007,0.0078,,
2026-08-30 09:01 UTC,0.01,0.0081,0.0098,0.003,0.0071,0.0065,,
2026-08-30 10:01 UTC,0.01,0.0097,0.0072,0.004,0.0079,0.0073,,
2026-08-30 19:24 UTC,0.0058,0.0036,0.0066,0.009,0.0086,0.01,78960,2507.71
2026-08-30 19:37 UTC,0.0053,0.0036,0.0069,0.0087,0.0087,0.01,78881,2504.43
2026-08-30 20:01 UTC,0.0059,0.0043,0.0065,0.009,0.009,0.01,78843,2502.32
2026-08-30 21:01 UTC,0.0069,0.0057,0.007,0.0088,0.0094,0.01,78587,2490.27
2026-08-30 21:37 UTC,0.0081,0.0055,0.0072,0.0084,0.0079,0.0096,78697,2479.8
2026-08-30 22:01 UTC,0.008,0.0054,0.0075,0.0082,0.0069,0.0094,78637,2481.35
2026-08-30 22:37 UTC,0.0078,0.0057,0.0072,0.0069,0.0062,0.0081,78378,2465.18
2026-08-30 23:37 UTC,0.0077,0.0066,0.007,0.0044,0.0064,0.0073,77694,2425.63
2026-08-31 01:37 UTC,0.0076,0.0069,0.0033,0.0008,0.0059,0.0022,77691,2416.35
2026-08-31 02:01 UTC,0.007,0.0068,0.0033,0.0003,0.0066,0.0016,77640,2412.53
2026-08-31 03:01 UTC,0.0065,0.0067,0.0029,0.0012,0.0081,0.0048,77451,2407.1
2026-08-31 04:37 UTC,0.0081,0.0063,0.0037,0.0028,0.0083,0.0025,77464,2412.63
2026-08-31 05:01 UTC,0.0089,0.007,0.0048,0.0032,0.0085,0.0026,77628,2417.61
2026-08-31 05:38 UTC,0.01,0.0078,0.0056,0.0038,0.0081,0.0041,78010,2435.02
2026-08-31 06:01 UTC,0.01,0.0076,0.0057,0.0039,0.0073,0.0049,78011,2435.96
2026-08-31 06:37 UTC,0.01,0.0077,0.0067,0.0044,0.0065,0.0057,77937,2439.25
2026-08-31 07:01 UTC,0.01,0.0079,0.0072,0.0045,0.0055,0.0061,78080,2438.79
2026-08-31 07:37 UTC,0.01,0.0082,0.0082,0.0044,0.0043,0.0062,78170,2440.97
2026-08-31 09:03 UTC,0.01,0.0085,0.006,0.0007,0.0029,0.0047,78449,2445.43
2026-08-31 10:37 UTC,0.01,0.0078,0.0092,0.0006,0.0014,0.0087,78380,2446.76
2026-08-31 12:04 UTC,0.01,0.0077,0.01,0.0017,0.0014,0.008,78375,2447.2
2026-08-31 12:39 UTC,0.01,0.0075,0.01,0.0033,0.0017,0.0092,78103,2455.75
2026-08-31 14:01 UTC,0.01,0.008,0.0074,0.0066,0.0031,0.0076,77831,2439.49
2026-08-31 14:37 UTC,0.01,0.0079,0.0062,0.008,0.0039,0.0067,78000,2445.29
2026-08-31 15:01 UTC,0.01,0.0078,0.0059,0.0089,0.0043,0.007,78572,2467.43
2026-08-31 15:37 UTC,0.01,0.0078,0.0058,0.0086,0.005,0.0074,78520,2470.26
2026-08-31 16:38 UTC,0.0097,0.0068,0.0066,0.0078,0.0049,0.01,78623,2465.83
2026-08-31 17:01 UTC,0.0092,0.0067,0.0055,0.0078,0.0049,0.009,78623,2468.79
2026-08-31 18:01 UTC,0.0079,0.0063,0.006,0.007,0.0044,0.0069,78880,2474.66
2026-08-31 19:01 UTC,0.0072,0.0063,0.0073,0.0067,0.0049,0.0079,79029,2478.35
2026-08-31 20:01 UTC,0.0074,0.0059,0.0069,0.0054,0.0041,0.0052,78908,2482.0
2026-08-31 20:37 UTC,0.0084,0.0062,0.0064,0.0055,0.0041,0.005,78822,2472.69
2026-08-31 21:01 UTC,0.0089,0.0065,0.0061,0.0058,0.0046,0.005,78850,2472.36
2026-08-31 21:37 UTC,0.0097,0.0065,0.0058,0.0064,0.0055,0.0053,79023,2480.76
